,Name,Extracted_name,Capacity,Conductivity,Coulombic Efficiency,Energy,Voltage,parsed_name,elements_cnt,Capacity_known,Conductivity_known,Coulombic Efficiency_known,Energy_known,Voltage_known,Pd_fraction,S_fraction,Na_fraction,Ru_fraction,Zr_fraction,Cn_fraction,Hg_fraction,Be_fraction,Rb_fraction,Si_fraction,Ra_fraction,Sg_fraction,Sc_fraction,Mn_fraction,Pr_fraction,Cl_fraction,Co_fraction,Br_fraction,Ac_fraction,Ta_fraction,Ni_fraction,Cu_fraction,O_fraction,Al_fraction,Ho_fraction,Th_fraction,Hs_fraction,Tl_fraction,K_fraction,Sm_fraction,Np_fraction,W_fraction,Ga_fraction,In_fraction,Ar_fraction,Yb_fraction,Rh_fraction,Bi_fraction,Eu_fraction,Pb_fraction,Mo_fraction,Er_fraction,Re_fraction,B_fraction,Mg_fraction,Cd_fraction,Cm_fraction,Sr_fraction,Se_fraction,Rf_fraction,Li_fraction,C_fraction,At_fraction,Sn_fraction,Ca_fraction,Nd_fraction,Nb_fraction,Po_fraction,Ti_fraction,Y_fraction,Dy_fraction,F_fraction,Zn_fraction,H_fraction,Pm_fraction,N_fraction,Es_fraction,Hf_fraction,I_fraction,Os_fraction,Pa_fraction,P_fraction,V_fraction,Pu_fraction,Gd_fraction,Tb_fraction,U_fraction,Sb_fraction,Ag_fraction,Ge_fraction,Ce_fraction,Pt_fraction,Te_fraction,Ir_fraction,Cr_fraction,Ba_fraction,Cs_fraction,La_fraction,As_fraction,Am_fraction,Fe_fraction,Au_fraction
59,(CH2OCO2Li)2,"[{'C': '4.0', 'H': '4.0', 'O': '6.0', 'Li': '2.0'}]",750.0,,,699.9999999999999,1.2,"[{'C': '4.0', 'H': '4.0', 'O': '6.0', 'Li': '2.0'}]",1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,(CH3)3SiN(CH3)Si(CH3)3,"[{'C': '7.0', 'H': '21.0', 'Si': '2.0', 'N': '1.0'}]",,,,,4.77,"[{'C': '7.0', 'H': '21.0', 'Si': '2.0', 'N': '1.0'}]",1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,(CH3)3SiN3,"[{'C': '3.0', 'H': '9.0', 'Si': '1.0', 'N': '3.0'}]",983.0,,,,,"[{'C': '3.0', 'H': '9.0', 'Si': '1.0', 'N': '3.0'}]",1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,(CN)2N,"[{'C': '2.0', 'N': '3.0'}]",,,,,1.2799999999999998,"[{'C': '2.0', 'N': '3.0'}]",1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,(FSO2)2N,"[{'F': '2.0', 'S': '2.0', 'O': '4.0', 'N': '1.0'}]",,0.001,,,,"[{'F': '2.0', 'S': '2.0', 'O': '4.0', 'N': '1.0'}]",1,0,1,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,(Fe)LiNiPO4,"[{'Fe': '1.0', 'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}]",116.5,,,579.5875,4.975,"[{'Fe': '1.0', 'Li': '1.0', 'Ni': '1.0', 'P': '1.0', 'O': '4.0'}]",1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
86,(KH)9[PV14O42]KPV,"[{'K': '10.0', 'H': '9.0', 'P': '2.0', 'V': '15.0', 'O': '42.0'}]",200.0,,,,,"[{'K': '10.0', 'H': '9.0', 'P': '2.0', 'V': '15.0', 'O': '42.0'}]",1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,(LaCeY)(NiMnCoAl)5,"[{'Ni': '5.0', 'Mn': '5.0', 'Co': '5.0', 'Al': '5.0', 'La': '1.0', 'Ce': '1.0', 'Y': '1.0'}]",254.85999999999999,,,,,"[{'Ni': '5.0', 'Mn': '5.0', 'Co': '5.0', 'Al': '5.0', 'La': '1.0', 'Ce': '1.0', 'Y': '1.0'}]",1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
93,(LaGdMg)Ni,"[{'La': '1.0', 'Gd': '1.0', 'Mg': '1.0', 'Ni': '1.0'}]",392.92,,,,,"[{'La': '1.0', 'Gd': '1.0', 'Mg': '1.0', 'Ni': '1.0'}]",1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101,(Li2O)2,"[{'Li': '4.0', 'O': '2.0'}]",,,,,1.26,"[{'Li': '4.0', 'O': '2.0'}]",1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
